Customer,ST,GENDER,Education,Customer Lifetime Value,Income,Monthly Premium Auto,Number of Open Complaints,Policy Type,Total Claim Amount,Vehicle Class
SA25987,Washington,M,High School or Below,3479.137523,0,104,0,Personal Auto,499.2,Two-Door Car
TB86706,Arizona,M,Master,2502.637401,0,66,0,Personal Auto,3.468912,Two-Door Car
ZL73902,Nevada,F,Bachelor,3265.156348,25820,82,0,Personal Auto,393.6,Four-Door Car
KX23516,California,F,High School or Below,4455.843406,0,121,0,Personal Auto,699.615192,SUV
FN77294,California,M,High School or Below,7704.95848,30366,101,2,Personal Auto,484.8,SUV
VI78454,Arizona,M,College,2750.705045,51789,70,0,Personal Auto,336,Four-Door Car
FP59138,Oregon,M,Master,13024.13012,0,125,0,Personal Auto,900,SUV
XN62489,Oregon,M,Bachelor,2538.62632,18608,71,0,Corporate Auto,340.8,Four-Door Car
GP66031,California,F,College,2585.955652,83758,64,0,Corporate Auto,106.591949,Two-Door Car
IX68587,Nevada,F,Master,5096.673223,22886,65,0,Personal Auto,312,Four-Door Car
HX17929,California,F,High School or Below,10083.48688,11828,90,0,Personal Auto,571.479602,Four-Door Car
IC59236,California,F,College,4943.386117,44762,62,0,Corporate Auto,114.51444,Four-Door Car
VG31922,Nevada,F,Bachelor,6516.214888,0,175,0,Personal Auto,1221.143438,SUV
HP87787,Arizona,M,Bachelor,8838.085637,82664,114,3,Corporate Auto,133.425609,SUV
AL78075,Oregon,M,High School or Below,3810.238281,0,108,0,Personal Auto,777.6,Four-Door Car
WA97671,Arizona,M,Bachelor,6334.466403,0,63,0,Personal Auto,302.4,Four-Door Car
QZ77637,Washington,F,College,11665.09779,84978,72,1,Corporate Auto,166.77296,Four-Door Car
FP11777,California,M,Doctor,10972.06778,24164,137,0,Corporate Auto,657.6,Sports Car
ID45268,California,F,College,6006.963446,0,80,0,Personal Auto,488.910614,Four-Door Car
AX86150,Washington,M,High School or Below,2656.713092,62777,67,0,Personal Auto,101.288069,Two-Door Car
MW57614,Arizona,F,Bachelor,2359.423599,19864,63,0,Personal Auto,352.394515,Four-Door Car
TJ30081,Arizona,M,Bachelor,12036.62051,44428,104,0,Personal Auto,499.2,SUV
FW44940,California,F,Bachelor,8467.387317,21139,113,0,Personal Auto,656.798232,Sports Car
CS55808,California,M,College,9392.557553,0,88,0,Personal Auto,851.146266,Four-Door Car
WZ61178,California,F,Bachelor,5227.230377,11896,69,0,Personal Auto,476.254583,Two-Door Car
IV55977,Oregon,M,Bachelor,2693.75925,0,73,1,Personal Auto,350.4,Two-Door Car
YC67208,California,M,High School or Below,2227.072755,27972,61,0,Personal Auto,292.8,Four-Door Car
LZ89773,California,M,Doctor,2326.864833,0,62,0,Personal Auto,624.711448,Four-Door Car
IP52990,Oregon,F,High School or Below,16794.31422,38399,106,0,Personal Auto,368.890904,SUV
VF73104,Arizona,F,High School or Below,5016.827946,20868,63,0,Personal Auto,134.629643,Four-Door Car
OC80343,Oregon,M,Bachelor,7757.924239,49682,101,0,Personal Auto,198.84453,SUV
EL89222,California,F,Bachelor,8609.158215,79090,107,0,Personal Auto,289.040734,SUV
QB14114,Oregon,F,High School or Below,5275.056933,81850,132,0,Personal Auto,429.860895,Sports Car
HM41195,Arizona,M,High School or Below,5746.32619,22906,76,0,Personal Auto,519.883102,Four-Door Car
JT41591,Washington,M,College,2705.987629,0,83,1,Personal Auto,398.4,Four-Door Car
HE15857,Washington,M,Bachelor,6186.265217,37138,83,2,Personal Auto,417.28389,Two-Door Car
KI64666,Nevada,F,Bachelor,22445.28088,0,71,0,Personal Auto,511.2,Four-Door Car
JC33752,Oregon,F,College,6277.844624,21024,82,1,Personal Auto,450.129276,Two-Door Car
JA25453,California,M,High School or Below,7215.821106,0,103,0,Personal Auto,741.6,Four-Door Car
AJ69778,Oregon,F,High School or Below,6514.430592,77135,84,3,Personal Auto,98.372265,Four-Door Car
FQ83162,Washington,M,College,34708.87261,0,109,0,Personal Auto,718.700718,Sports Car
EY89842,Arizona,M,Bachelor,4216.19522,0,114,0,Corporate Auto,820.8,SUV
TG69238,Oregon,F,Bachelor,13158.37206,72845,108,0,Personal Auto,463.000336,SUV
UI63465,Oregon,F,High School or Below,2917.539465,51622,74,0,Corporate Auto,355.2,Four-Door Car
WX33904,Arizona,M,Bachelor,6355.678846,0,61,0,Special Auto,292.8,Two-Door Car
HA20933,Oregon,F,Bachelor,13269.59942,15616,114,1,Personal Auto,547.2,SUV
BU16704,Oregon,F,High School or Below,5880.256499,0,82,0,Personal Auto,590.4,Four-Door Car
JV68002,Washington,M,College,5926.729379,23091,96,5,Corporate Auto,460.8,Four-Door Car
PM78410,Oregon,F,Bachelor,4121.252137,0,67,3,Personal Auto,482.4,Two-Door Car
PU92298,Arizona,F,Bachelor,7956.152761,22699,74,4,Personal Auto,355.2,Four-Door Car
AA16582,Washington,M,Bachelor,24127.50402,14072,71,0,Personal Auto,511.2,Four-Door Car
AZ87715,California,F,High School or Below,26864.20332,81713,74,0,Personal Auto,332.224293,Four-Door Car
GI89160,California,F,Bachelor,31934.62164,56516,199,0,Personal Auto,955.2,Luxury SUV
WV57813,Oregon,F,Bachelor,5132.684537,0,73,0,Personal Auto,525.6,Four-Door Car
EW86465,Arizona,M,High School or Below,4759.624343,26747,61,0,Corporate Auto,404.074203,Four-Door Car
UW70224,Oregon,F,College,2637.942355,63422,66,0,Personal Auto,355.922452,Four-Door Car
LU12532,California,F,High School or Below,6503.397049,22081,84,0,Personal Auto,451.670309,Two-Door Car
WD48852,Oregon,F,College,12786.66898,0,180,0,Special Auto,1296,Luxury SUV
BH43379,Oregon,F,Bachelor,3147.973444,29698,83,2,Personal Auto,215.884804,Four-Door Car
GV59387,California,F,College,5618.485357,24518,74,0,Personal Auto,241.656325,Two-Door Car
LQ76410,Arizona,M,College,3230.576665,62873,81,0,Special Auto,207.75186,Four-Door Car
MF19231,California,M,Master,7434.675149,28377,94,0,Personal Auto,451.2,Four-Door Car
XS47087,Oregon,M,College,11714.78278,21102,100,0,Personal Auto,480,SUV
IL56791,Oregon,M,Bachelor,2009.772923,0,65,2,Personal Auto,312,Two-Door Car
UV88036,Nevada,F,High School or Below,6625.472768,0,88,0,Personal Auto,539.280951,Four-Door Car
SE76116,California,M,Bachelor,9567.711298,81410,119,0,Personal Auto,221.188327,SUV
GJ63103,Oregon,F,High School or Below,18474.71111,27869,67,0,Personal Auto,482.4,Two-Door Car
PL78574,Arizona,M,High School or Below,12157.32992,57449,103,0,Personal Auto,494.4,Four-Door Car
NV69875,Oregon,M,High School or Below,2956.358303,40901,74,0,Corporate Auto,13.628274,Four-Door Car
MC38650,Nevada,M,High School or Below,3963.394851,88701,99,0,Personal Auto,171.830049,Two-Door Car
No73819,California,F,Master,10896.04838,29365,137,0,Personal Auto,657.6,Sports Car
OW84864,California,F,College,6081.048248,0,82,0,Personal Auto,393.6,Four-Door Car
BV91898,Arizona,F,Bachelor,30141.61738,0,103,0,Personal Auto,1060.310769,SUV
WQ54314,Oregon,F,Bachelor,5737.233278,56455,73,2,Personal Auto,350.4,Four-Door Car
